PID,Archive ID,Letter Number,Archive URL,iFrame
p00ylfn0,278017,2294,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278017,http://www.bu.edu/dbin/archives/content/holdings/LFA2294/HTML 
p00ylfm5,278020,2295,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278020,http://www.bu.edu/dbin/archives/content/holdings/LFA2295/HTML 
p00ylg1w,278025,2296,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=278025,http://www.bu.edu/dbin/archives/content/holdings/LFA2296/HTML 
p00ylfhn,283834,2301,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283834,http://www.bu.edu/dbin/archives/content/holdings/LFA%202301/HTML 
p00z2lj7,283839,2303,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283839,http://www.bu.edu/dbin/archives/content/holdings/LFA2303/HTML 
p00ylfh2,283844,2304,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283844,http://www.bu.edu/dbin/archives/content/holdings/LFA2304/HTML 
p00z2lly,283849,2305,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283849,http://www.bu.edu/dbin/archives/content/holdings/LFA2305/HTML 
p00z2lnq,283855,2306,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283855,http://www.bu.edu/dbin/archives/content/holdings/LFA2306/HTML 
p00ylfgk,283862,2307,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283862,http://www.bu.edu/dbin/archives/content/holdings/LFA2307/HTML 
p00ylfg2,283865,2308,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283865,http://www.bu.edu/dbin/archives/content/holdings/LFA2308/HTML 
p00ylffn,283868,2309,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283868,http://www.bu.edu/dbin/archives/content/holdings/LFA2309/HTML 
p00z2lv4,283873,2310,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283873,http://www.bu.edu/dbin/archives/content/holdings/LFA2310/HTML 
p00ylff2,283879,2311,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=283879,http://www.bu.edu/dbin/archives/content/holdings/LFA2311/HTML 
p00ylg64,286910,2322,http://archives.bu.edu/web/alistair-cooke/search-letters/detail?id=286910,http://www.bu.edu/dbin/archives/content/holdings/LFA2322/HTML 
